quelle,index_string,inhalt,index_binar
000:ballast,ballast,ballast,0
zyx_cr_agx_rus_11,nh531:unklar:^Vorfeld:Molla:,молла насреддин сказал жене пойду кур продавать он положил кур в мешок,0
zyx_cr_agx_rus_11,nh531:unklar:^Fehler:Molla:,куры подняли шум он их вынул и погнал обмакивая в воду и сте гая хворостиной идите впереди меня говорил молла насреддин пока одну вынимал остальные терялись наконец он всех намочил смотрит молла насреддин не осталось ни одной курицы молла насреддин сказал значит сами себя продадут и придут с деньгами,0
zyx_cr_agx_rus_11,nh531:unklar:^Krise:Molla: nh531:unklar:^Lösung:Molla:,молла насреддин пришел домой жена его спросила где куры молла насреддин ответил жене они сказали что они сами себя продадут и одна принесет деньги конец,0
zyx_cr_agx_rus_13,nh395:unklar:^Vorfeld:Molla:,молла насреддин пошел в лес он нашел зайца он положил зайца в мешок и принес домой он пошел к народу к сельчанам он сказал всем собирайтесь я вам одну вещь покажу,0
zyx_cr_agx_rus_13,nh395:unklar:^Fehler:Molla:,его жена не вытерпела она развязала веревку на мешке и посмотрела оттуда выпрыгнул заяц выпрыгнул и убежал она не знала что делать она положила в мешок мерку для зерна,0
zyx_cr_agx_rus_13,nh395:unklar:^Krise:Molla: nh395:unklar:^Lösung:Molla:,молла насреддин пришел закинул за спину свой мешок и ушел все собрались он развязал веревку на мешке а там была мерка тогда молла насреддин сказал каждый пусть даст по одной мерке зерна все дали по одной мерке зерна так тот разбогател конец,0
zyx_cr_agx_rus_17,nh395:unklar:^Vorfeld:Molla:,однажды молла насреддин пошел на пашню и поймал там зайца принес он этого зайца домой потом положил его в мешок завязав верх и оставил этот мешок в углу он сказал своей жене этот мешок не трогай,0
zyx_cr_agx_rus_17,nh395:unklar:^Krise:Molla:,молла насреддин сказал мужикам я вам сейчас покажу кое что чего вы в жизни не видели постойте тут пошел молла насреддин домой принести зайца,0
zyx_cr_agx_rus_17,nh395:unklar:^Fehler:Molla:,когда молла насреддин ушел жена открыла мешок заяц выпрыгнул и убежал чтобы муж не узнал жена положила в мешок мерку для зерна,0
zyx_cr_agx_rus_17,nh395:unklar:^Krise:Molla: nh395:unklar:^Lösung:Molla:,молла насреддин пришел взял дома этот мешок и пошел пошел и сел с мужиками это чтобы не убежал сказал он он открыл мешок взялся за нижние углы и вытряхнул то что там было перед всеми смотрят выпала мерка от стыда молла насреддин не знал что сказать наконец он сказал четыре таких т е маленьких мерки вмещают сколько одна большая мерка те кто там был все как один рассмеялись конец,0
zyx_cr_agx_rus_20,nh344:F:^Vorfeld:Molla:,был говорят не был говорят молла насреддин пошел он продавать козу привязал козу к хвосту осла на лоб козе привязал колокольчик а сам сел на осла увидели три товарища как он едет втроем они сговорились один сказал что дадите если украду у него эту козу так что тот и не узнает другой товарищ сказал что дадите если отниму у него осла последний товарищ сказал что дадите если сниму с него одежду,0
zyx_cr_agx_rus_20,nh344:h:^Fehler:Molla:,товарищ который говорил первым пошел красть козу он снял колокольчик который был у козы на лбу и привязал к хвосту осла сам же с козой ушел обратно,0
zyx_cr_agx_rus_20,nh344:h:^Fehler:Molla:,второй товарищ пошел и встал на пути моллы насреддина эй молла насреддин куда ты идешь доброго тебе пути валлах иду козу продать детям еды купить сказал тот а где твоя коза спросил второй товарищ молла насреддин сказал а ты не видишь колокольчик на хвосте осла зазвенел ты что ослеп вот же нету козы сказал второй товарищ покажи мне молла насреддин повернулся назад посмотрел за хвостом осла козы больше нет остался только колокольчик привязанный к хвосту осла ах сказал он оторвалась на сказал молла насреддин подержи этого осла пока я поищу козу и вернусь тот товарищ убежал с ослом,0
zyx_cr_agx_rus_20,nh344:h:^Fehler:Molla:,когда молла насреддин вернулся то и осла уже не было на месте третий товарищ пошел далеко вырыл яму налил в яму воды и сидел водя рукой в воде и плача молла насреддин пришел поздоровался и спросил что делаешь товарищ валлах товарищ мое золото упало в эту яму и я вожу рукой чтобы его найти залезть в яму я не могу если бы кто то смог достать золото я бы дал тому золотую десятку” букв золотую монету с надписью 10” если я вытащу дашь мне один сверху спросил молла насреддин вынь товарищ я тебе и сверху дам сказал тот молла насреддин снял одежду оставил возле того товарища и влез в яму с водой искать золото третий товарищ убежал с одеждой,0
zyx_cr_agx_rus_20,nh344:f:^Krise:Molla:,когда молла насреддин высунул голову и сказал нету же здесь золота там уже никого не было сейчас они и меня украдут сказал молла насреддин пошел срубил в лесу палку и колотя палкой тех кто попадался на пути вернулся домой дома его отругала жена где же хлеб который ты купил детям я их оставил там ругаться и вернулся сюда,0
zyx_cr_agx_rus_24,nh344:F:^Vorfeld:Molla:,был не был молла насреддин однажды молла насреддин пошел на базар молла насреддин был с ослом,0
zyx_cr_agx_rus_24,nh344:h:^Fehler:Molla:,пока молла насред дин там сидел пришли молодые парни и украли его осла он увиделчто осла нет он встал и побежал вдогонку через час он догнал парней отобрал у них своего осла и привел его обратно,0
zyx_cr_agx_rus_24,nh344:h:^Fehler:Molla:,к его приходу от его вещей ничего не осталось молла насред дин долго повсюду искал свои вещи но нашел только один кувшин он привязал кувшин к ослу и привез домой,0
zyx_cr_agx_rus_24,nh344:f:^Krise:Molla: nh344:h: ^Lösung:Molla:,жена узнала что унего потерялись вещи жена начала ругать мужа тогда он рассердился на жену он начал бить жену жена быстро убежала из дома молла насреддин погнался за женой он букв муж упал жена сталакидать в него камни один камень попал молле насреддину в голову и разбил ее молла насреддин умер потом мужики схватили женуи забили до смерти,0
zyx_cr_agx_rus_35,nh918:F:^Vorfeld:Molla:,молла насреддин увидел во сне что ему давали без одной сто золотых монет ио он их не взял проснулся он ото сна оп оказал хотя и эез одной монеты ничего дай мои эти монеты он вышел за двери пошел на улицу он сказал людям я так видел один человек сказал молодым ребятам мы ему бросим в мешочке без одной сто золотых монет молла насреддин пошел домой,0
zyx_cr_agx_rus_35,nh918:h:^Fehler:Molla:,он сидел у камина ему бросили без одной сто золотых монет в мешочке он вынув посчитал там было без одной сто золотых монет молл а насреддин сказал тогда мне дававший рукой давал теперь дающий дает мне в мешочке вместо одной золотой монеты пусть будет этот мешочек,0
zyx_cr_agx_rus_35,nh918:f:^Krise:Molla:,молла насреддин пошел сказал людям мне так без одной монеты сто золотых монет дал бог один человек сказал засмеявшись эти мои деньги отдай мои золотые монеты молла насреддин сказал ему их мне бог дал тот сказал молла насрсддину давай пойдем к судье молла насреддин сказал ему у меня нет одежды тот человек сказал ему я одолжу тебе одежду молла насреддин надел того одежду,0
zyx_cr_agx_rus_35,nh918:H:^Lösung:Molla:,пошли они к судье судье сказал тот человек этот не отдает мои золотые монеты так заброшенные мол ла насредаин сказал ему так говорящий эта находящаяся на мне одежда тоже твоя скажешь судья побил того человека и выгнал молл а насреддину досталась та одежда и золотые монеты окончилось,0
zyx_cr_agx_rus_38,nh395:F:^Vorfeld:Molla:,молла наореддин пошел в лес он ті ангел зайца он принес зайца домой положив в мешок,0
zyx_cr_agx_rus_38,nh395:F:^Vorfeld:Molla:,он пошел к народу к сельчанам он сказал всем собирайтесь я вам одну вещь покажу,0
zyx_cr_agx_rus_38,nh395:h:^Fehler:Molla:,его жене не терпелось развязав веревку мешка она посмотрела потом оттуда заяц выпрыгнул заяц выпрыгнув ушел она нс знала что делать она положила в мешок мерку для сыпучих предметов,0
zyx_cr_agx_rus_38,nh395:f:^Krise:Molla: nh395:H:^Lösung:Molla:,молла насреддин когда пришел вскину за спину свои мешок пошел те все собрались он когда развязал веревку мешка там была мерка потом молла насреддин сказал каждый дайте одну мерку зерна все по одной мерке зерна дали потом он богатый стал окончилось,0
zyx_cr_agx_rus_42,nh395:F:^Vorfeld:Molla:,однажды когда молла насрсддия пошел на пашню поймал он одного зайца принес он этого зайца домой потом положил его в мешок завязав верх оставил этот мешок з одном углу затем он сказал своей жене этот мешок пе трогай,0
zyx_cr_agx_rus_42,nh395:F:^Vorfeld:Molla:,молла насреддин сказал людям я вам сейчас в жизни невиданное нечто покажу вы здесь постойте,0
zyx_cr_agx_rus_42,nh395:h:^Fehler:Molla:,пошел молла насреддин домой принести зайца молла насреддин пока уходил жена открыла верх мешка заяц выпрыгнув убежал жена пусть не узнает сказала и положила в мешок мерку вместо зайца,0
zyx_cr_agx_rus_42,nh395:f:^Krise:Molla: nh395:Hh:^Lösung:Molla:,молла насреддин пришел и взяв из дома этот мешок пошел пошел и сел среди людей вот чтобы не убежал сказал оп людям открыв мешок держа за задние углы он вытряхнул находившийся там предмет перед тем местом как посмотрели выпала мерка пристыженный остался хмол л а насреддин не зная что сказать наконец сказал он когда измерить эти четыре мерки одна большая мерка бывает все там находившиеся люди как один рассмеялись,0
zyx_cr_agx_rus_45,nh344:F:^Vorfeld:Molla:,был говорят не был говорят один молла насреддин он пошел говорят продавать козу козу привязал к хвосту осла па лоб козы привязал звонок сам сел на осла,0
zyx_cr_agx_rus_45,nh344:F:^Vorfeld:Molla:,едущего увидели три товарища втроем сговорились один сказал если этого козла украду так что и сам пе узнает что дадите другой товарищ сказал если отниму осла что дадите оставшийся товарищ сказал одежду если сниму с молла насреддина что дадите,0
zyx_cr_agx_rus_45,nh344:h:^Fehler:Molla:,первый товарищ пошел красть козу он сняв находившийся на лбу звонок привязал к хвосту осла с козой сам обратно пошел,0
zyx_cr_agx_rus_45,nh344:h:^Fehler:Molla:,второй товарищ пошел встал на молла насреддин а дороге эй молла насреддин ты куда идешь добрый путь пусть тебе будет ей богу я иду продавать козу идущий продавать козу детям зерно хлебные злаки купить где твоя коза сказал спросил второй товарищ молла насреддин сказал не видишь ли ты на хвосте осла находящийся звонок зазвенел ты ослоп ли ведь нет козы сказал второй товарищ покажи мне повернувшись назад посмотрел молла насреддин за хвостом осла козы не было остался звонок привязанный к хвосту осла ах сказал он оторвавшись осталась на сказал молла насреддин подержи этого осла пока я вернусь поискав козу с ослом и тот товарищ убежал,0
zyx_cr_agx_rus_45,nh344:h:^Fehler:Molla:,когда вернулся молла насреддин назад па своем месте и осел но остался и осла не было третий товарищ пойдя далеко и вырыв яму налил в яму воду и рукой водя в воде плача сидел молла насреддин придя и поздоровавшись сказал что делаешь товарищ ей богу товарищ мое золото упало в эту яму вновь найти рукой вожу войти в яму я не могу если кто смог бы это золото вынуть десять написанное золото золотую монету десятку дам вытащившему если я вытащу и лишний мне дашь ты сказал хмолла насреддин вынь же товарищ и лишний я дам тебе сказал тот сняв одежду и оставив у того товарища молла насреддин влез в яму с водой искать золото с одеждой и третий товарищ убежал,0
zyx_cr_agx_rus_45,nh344:f:^Krise:Molla:, нет же здесь золота сказав голову когда поднял молла насреддин здесь никого не было не осталось сейчас и меня украдут они сказав молла насреддин пошел срубил в лесу палку и колотя встречных той палкой вернулся в свой дом дома жена отругала его говоря где твой хлеб детям купленный ругавшихся там оставив я сюда возвратился,0
zyx_cr_agx_rus_49,nh344:F:^Vorfeld:Molla:,был пе был один молла насреддин однажды молла насреддин пошел на базар у молла насреддина был один осел,0
zyx_cr_agx_rus_49,nh344:h:^Fehler:Molla:,молла насреддин когда сидел пришли молодые люди и украли ого осла он узнал что осел не остался что осла украли,0
zyx_cr_agx_rus_49,nh344:h:^Fehler:Molla:,он встал и побежал вдогонку через час он догнал их он своего осла отобрав с ним пришел,0
zyx_cr_agx_rus_49,nh344:f:^Krise:Molla:,до его прихода от его вещей ничего нс осталось молла насреддин долго искал свои вещи но он нашел только один кувшин он кувшин к ослу привязав домой принес,0
zyx_cr_agx_rus_49,nh344:f:^Krise:Molla: nh344:h:^Lösung:Molla:,жена узнала что его вещи потерялись жена начала мужа ругать тогда он рассердился на жену он начал бить жену жена быстро из дому убежала молла насреддин погнался за женой муж упал жена стала кидать в него камни один камень попав в голову молла насреддина разбил голову молла насреддин умер потом люди схватив эту жену побив убили,0
zyx_cr_tab_rus_17,nh395:F:^Vorfeld:Molla:,был не был один молла насреддин он дошел в лес когда шел по тропинке то под одним кустом он увидел зайца спящего с открытыми глазами потихоньку сняв свою чоху накрыл он зайца и поймал его не пойдя в лес с этим зайцем од вернулся домоя когда пришел домой положил зайца в мешок и сказал жене смотри этот мешок не открывай,0
zyx_cr_tab_rus_17,nh395:F:^Vorfeld:Molla:,так сказав вышел из дому и пошел молла насреддин на сборное место сельчан там находящимся он сказал я покажу вам одну вепрь все стойте,0
zyx_cr_tab_rus_17,nh395:h:^Fehler:Molla:,пока молла насреддина не было дома его жепа ах в этом мешке что же находится говоря когда открыла мешок находившийся тли заяц выпрыгнув убежал жена не зная что делать взяла рядом находящуюся мерку и положила в мешок,0
zyx_cr_tab_rus_17,nh395:f:^Krise:Molla:,через некоторое время молла насреддин пришел домой в мешке находилось что то круглое ему показалось что там ваял и он даже не открыв одшои взял его положив на спину и пошел к тому месту где собрались люди поставив людей в ряд сказал теперь смотрите люди что я вам покажу и развязав мешок когда посмотрел то в мешке оказалась мерка молла насреддин стоял растерянный наконец он сказал эй люди вы все много занимаетесь торговлей раз так то вам надо знать что из шести этих мерок состоит одна большая мерка сельчане рассердились кроме этого паршивца другие разве пе знают что если замерить шесть таких мерок получится одна большая мерка говоря побили молла насреддина и прогнали домой,0
zyx_cr_tab_rus_17,nh395:h:^Lösung:Molla:,молл а насреддин придя домой начал бить жену жена сказала молла насреддин меня не трогай я тебе сошью чоху молла насреддин ее не тронул,0
zyx_cr_tab_rus_18,nhtest:unklar:unklar:Molla:,однажды молла насреддин должен был пойти на мельницу но он ни одного мешка не нашел тогда поднявшись на башню он заявил эй сельчане вы мне дадите каждый но одному мешку если нет то совершить ли мне то что находится в моем сердце,1
zyx_cr_tab_rus_18,nhtest:unklar:unklar:Molla:,сельчане говорили сами себе отт чтоб его дом разрушился подобен сумасшедшему он подожжет наши посевы давайте каждый дадим ло одному мешку и дали молла насреддину мешки потом из этих мешков молла насреддин сделал себе даже паласы,1
zyx_cr_tab_rus_18,nhtest:unklar:unklar:Molla:,однажды когда молла насред пошел на сборное мести сельчане спросили у молла насреддина а ну ка скажи братец если мы тебе не дали бы те мешки что ты сделал бы,1
zyx_cr_tab_rus_18,nhtest:unklar:unklar:Molla:,у меня есть одни хурджипы и если вы не дали бы мешки из них сделал бы два мешка,1
